runId,algorithmName,inputSize,timeNs,memoryKb,dateRun
1,DP Knapsack,100,11360255,23.55,2024-02-10
2,BFS,500,16479577,53.58,2024-02-05
3,Kruskal,500,6328778,34.85,2024-02-11
4,Insertion Sort,100,49314606,22.6,2024-02-18
5,Insertion Sort,5000,47012907,17.79,2024-02-16
6,Dijkstra,100,11917581,43.36,2024-02-03
7,DFS,1000,17320748,42.19,2024-02-16
8,DP Knapsack,500,2617964,45.96,2024-02-09
9,Prim,500,7571891,50.37,2024-02-10
10,Insertion Sort,50,13046614,21.15,2024-02-14
11,Quick Sort,5000,15212161,45.26,2024-02-02
12,Quick Sort,200,18515240,14.63,2024-02-14
13,Merge Sort,50,28106174,61.33,2024-02-05
14,Insertion Sort,200,13914533,34.45,2024-02-09
15,Greedy Knapsack,500,3886733,21.35,2024-02-03
16,Merge Sort,100,17485709,18.75,2024-02-14
17,BFS,1000,13179322,23.13,2024-02-19
18,Kruskal,200,3295175,13.48,2024-02-01
19,Binary Search,100,2821107,34.53,2024-02-09
20,Kruskal,100,14842504,46.14,2024-02-08
21,BFS,10000,11299106,11.54,2024-02-01
22,DFS,100,17676815,3.18,2024-02-17
23,DFS,50,16379652,23.92,2024-02-16
24,Prim,200,15445837,44.73,2024-02-16
25,Kruskal,5000,6968793,29.52,2024-02-10
26,Greedy Knapsack,500,857495,51.4,2024-02-17
27,DFS,100,11857175,58.5,2024-02-10
28,Insertion Sort,200,30816738,25.15,2024-02-09
29,DP Knapsack,5000,1352110,2.03,2024-02-03
30,BFS,50,11408421,33.87,2024-02-01
31,Binary Search,10000,3781700,30.87,2024-02-10
32,Quick Sort,1000,24866427,35.35,2024-02-18
33,Linear Search,10000,845985,50.7,2024-02-07
34,BFS,500,14225430,59.14,2024-02-15
35,BFS,1000,10606548,58.39,2024-02-15
