roadId,fromLocationId,toLocationId,distance,travelTime,roadConditionWeight
1,1,2,0.02,0.03,2.38
2,1,3,0.05,0.06,1.22
3,1,4,0.06,0.07,1.86
4,1,5,0.08,0.08,1.47
5,1,6,0.09,0.12,1.53
6,1,7,0.07,0.09,2.48
7,1,8,0.04,0.04,1.78
8,1,9,0.06,0.06,2.47
9,1,10,0.05,0.04,2.36
10,1,11,0.05,0.07,1.29
11,1,12,0.09,0.12,2.19
12,1,13,0.11,0.1,1.63
13,1,14,0.11,0.14,1.8
14,1,15,0.11,0.14,2.15
15,1,16,0.12,0.1,1.21
16,1,17,0.12,0.11,2.02
17,1,18,0.13,0.19,2.19
18,1,19,0.15,0.13,1.99
19,1,20,0.17,0.2,2.07
20,1,21,0.05,0.05,2.09
21,1,22,0.05,0.05,1.58
22,1,23,0.1,0.1,2.25
23,1,24,0.1,0.14,2.11
24,1,25,0.02,0.03,2.05
25,1,26,0.1,0.15,1.82
26,1,27,0.08,0.09,1.42
27,1,28,0.12,0.17,2.49
28,1,29,0.12,0.15,2.41
29,1,30,0.12,0.13,1.0
30,1,31,0.05,0.04,1.06
31,1,32,0.11,0.16,1.48
32,1,33,0.09,0.11,1.67
33,1,34,0.1,0.13,2.41
34,1,35,0.08,0.09,2.35
35,1,36,0.06,0.07,2.0
36,1,37,0.04,0.04,2.09
37,1,38,0.02,0.02,2.37
38,1,39,0.01,0.01,1.59
39,1,40,0.07,0.08,1.44
40,1,41,0.12,0.17,1.75
41,1,42,0.13,0.14,1.49
42,1,43,0.12,0.12,2.24
43,1,44,0.09,0.13,1.53
44,1,45,0.1,0.15,1.15
45,1,46,0.02,0.03,2.04
46,1,47,0.11,0.16,2.16
47,1,48,0.14,0.14,1.29
48,1,49,0.05,0.06,1.93
49,1,50,0.11,0.14,1.58
50,1,51,0.14,0.18,1.86
51,1,52,0.02,0.02,1.38
52,1,53,0.08,0.08,1.03
53,1,54,0.1,0.14,1.41
54,1,55,0.11,0.1,1.39
55,2,3,0.03,0.04,1.53
56,2,4,0.04,0.05,1.42
57,2,5,0.06,0.08,2.19
58,2,6,0.07,0.09,1.36
59,2,7,0.06,0.06,2.19
60,2,8,0.04,0.05,1.95
61,2,9,0.05,0.06,2.34
62,2,10,0.05,0.05,1.9
63,2,11,0.05,0.06,1.5
64,2,12,0.08,0.08,1.09
65,2,13,0.11,0.11,2.4
66,2,14,0.1,0.13,1.57
67,2,15,0.11,0.14,1.17
68,2,16,0.12,0.17,1.15
69,2,17,0.13,0.11,1.09
70,2,18,0.14,0.18,1.15
71,2,19,0.16,0.17,2.48
72,2,20,0.18,0.19,1.69
73,2,21,0.05,0.07,1.96
74,2,22,0.05,0.06,2.08
75,2,23,0.11,0.16,1.42
76,2,24,0.1,0.12,2.2
77,2,25,0.02,0.02,2.25
78,2,26,0.09,0.07,2.11
79,2,27,0.07,0.06,1.38
80,2,28,0.11,0.15,1.69
81,2,29,0.12,0.14,1.7
82,2,30,0.12,0.1,1.76
83,2,31,0.03,0.04,1.41
84,2,32,0.11,0.14,1.18
85,2,33,0.07,0.08,1.17
86,2,34,0.08,0.08,1.13
87,2,35,0.06,0.05,2.01
88,2,36,0.04,0.06,1.73
89,2,37,0.02,0.03,1.4
90,2,38,0.0,0.0,2.32
91,2,39,0.02,0.03,1.64
92,2,40,0.07,0.09,2.2
93,2,41,0.11,0.15,1.43
94,2,42,0.13,0.12,1.82
95,2,43,0.12,0.12,1.73
96,2,44,0.1,0.09,1.15
97,2,45,0.11,0.15,2.38
98,2,46,0.04,0.04,1.21
99,2,47,0.12,0.13,1.78
100,2,48,0.15,0.21,2.39
101,2,49,0.03,0.03,1.26
102,2,50,0.12,0.12,1.25
103,2,51,0.15,0.21,1.35
104,2,52,0.01,0.01,1.21
105,2,53,0.06,0.08,1.3
106,2,54,0.09,0.08,1.93
107,2,55,0.1,0.15,2.26
108,3,4,0.02,0.03,2.35
109,3,5,0.03,0.03,1.71
110,3,6,0.05,0.07,1.37
